Audio,Precision (macro avg),Recall (macro avg),F1-Score (macro avg)
../../TrainDataset/LOD_1624992635178/Freestyle_LOD.wav,0.8377777777777778,0.8,0.8008080808080807
../../TrainDataset/LOD_1624992635178/Kick_LOD.wav,1.0,1.0,1.0
../../TrainDataset/LOD_1624992635178/Snare_LOD.wav,1.0,0.875,0.9333333333333333
../../TrainDataset/LOD_1624992635178/HH_LOD.wav,1.0,1.0,1.0
../../TrainDataset/JPP/Freestyle_JPP.wav,0.9252910052910053,0.7380952380952381,0.8154583867445282
../../TrainDataset/AFR_1625001619666/Freestyle_AFR.wav,0.6078431372549019,0.7647058823529411,0.6705882352941177
../../TrainDataset/AFR_1625001619666/Kick_AFR.wav,1.0,1.0,1.0
../../TrainDataset/AFR_1625001619666/HH_AFR.wav,1.0,1.0,1.0
../../TrainDataset/AFR_1625001619666/Snare_AFR.wav,1.0,1.0,1.0
../../TrainDataset/AFR_1625001619666/Freestyle2_AFR.wav,0.4454545454545454,0.6363636363636364,0.5240641711229946
../../TrainDataset/MOB_1624999767827/Freestyle_MOB.wav,1.0,1.0,1.0
../../TrainDataset/MOB_1624999767827/Kick_MOB.wav,1.0,1.0,1.0
../../TrainDataset/MOB_1624999767827/HH_MOB.wav,1.0,1.0,1.0
../../TrainDataset/MOB_1624999767827/Snare_MOB.wav,1.0,0.625,0.7692307692307693
../../TrainDataset/ASR_1624992547175/HH_ASR.wav,1.0,1.0,1.0
../../TrainDataset/ASR_1624992547175/Snare_ASR.wav,1.0,0.2,0.33333333333333337
../../TrainDataset/ASR_1624992547175/Kick_ASR.wav,1.0,1.0,1.0
../../TrainDataset/ASR_1624992547175/Freestyle_ASR.wav,0.9603174603174603,0.9523809523809523,0.9511440940012369
../../TrainDataset/MOB_1624992420264/Freestyle_MOB.wav,1.0,1.0,1.0
../../TrainDataset/MOB_1624992420264/Kick_MOB.wav,1.0,1.0,1.0
../../TrainDataset/MOB_1624992420264/HH_MOB.wav,1.0,1.0,1.0
../../TrainDataset/MOB_1624992420264/Snare_MOB.wav,1.0,1.0,1.0
../../TrainDataset/GCG/Freestyle_GCG.wav,0.8484848484848485,0.9090909090909091,0.8727272727272727
