audio_class,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20
Kick,-299.0681,85.30744,-0.40234202,76.03199,6.8612666,21.060802,29.481962,30.396088,-3.931391,8.004104,4.7457676,5.087898,7.6448565,3.0020018,9.083992,1.6208472,2.4399426,-9.663291,6.1758924,-2.278,75.8985,14.5692625,9.314812,8.336114,13.039151,7.366583,13.91257,9.001733,7.3757863,5.258681,12.123804,9.799791,5.1956825,7.6726894,3.722066,4.337052,4.6977425,7.6660595,7.7878447,5.935322
Kick,-249.79364,114.79166,16.770988,43.266983,15.209844,29.801432,11.407311,20.94615,-6.3977904,-1.5942006,-3.0191836,2.1321416,2.3894165,-8.3348255,-7.0615377,-0.7820669,-1.4793009,-1.1279746,-9.89106,-1.0037439,112.20696,15.791224,9.042249,26.322903,13.023375,13.269273,7.89299,3.7368937,8.764453,8.84321,5.5588655,8.316681,4.9765077,3.3920152,9.542356,6.1412625,1.2781639,5.432865,5.6206756,3.6389916
Kick,-234.51125,89.86181,-11.192435,23.790564,-35.508785,16.757946,3.1522486,15.9857025,8.284554,4.122864,-1.6375955,-3.4822576,-6.4139624,-9.421258,8.106376,-14.611414,2.3138034,3.3542926,1.3112925,3.260858,32.41254,14.583518,7.6378627,6.831204,2.9697375,5.015891,6.789869,5.7913957,4.085821,5.9669466,7.81453,5.068761,12.851811,10.692772,2.9623115,7.6372833,7.375689,5.579716,4.1457353,3.578741
Kick,-317.37048,190.29866,-44.98681,51.444912,11.706081,-6.939984,26.676018,-16.829168,0.022270711,5.1933637,-17.036673,3.4837575,-6.2776265,-7.375015,-2.0573068,-5.9272137,-5.0161953,2.1289222,-8.789114,-3.1593845,101.19011,33.29233,27.87314,26.843983,10.514,8.479212,10.564684,17.244581,7.876382,6.233442,7.1139355,6.2797666,7.8179765,5.0989685,8.15787,5.720353,8.799142,4.9621515,3.9902918,3.4796386
Kick,-253.08432,214.44933,-34.34554,49.379574,23.209341,-4.7568607,28.613295,-8.07637,-3.52991,4.329659,-11.301496,6.696912,-7.0037885,-7.7380505,-3.1433916,-8.225717,-9.176209,2.6132157,-4.086727,-3.21486,92.287834,23.661255,40.639477,12.826641,15.167101,17.512085,4.750221,18.417751,11.239493,11.864775,11.055441,7.9943423,6.683741,3.3686695,5.0917845,3.4726503,7.0067453,4.8142986,7.6685886,6.290586
Kick,-342.4458,160.46169,21.464333,40.513245,8.886777,24.992832,5.939153,10.648455,9.780065,-1.6766399,-5.5458107,-21.717514,-12.035584,-5.4605646,-11.497655,-13.335203,13.7435465,-2.7553139,-7.8112807,-8.421249,49.89992,32.144165,25.397505,6.240434,24.28172,9.625594,12.865851,15.99751,10.673304,6.7712646,8.725106,6.595633,6.726974,6.9036074,12.040217,8.78625,7.990967,5.513899,8.14081,6.8124547
Kick,-261.46426,96.59309,13.7759695,66.96182,0.38083994,14.381735,10.472711,30.616106,7.7978573,-10.344896,-6.5839496,-0.1474547,-11.22206,-7.9579425,1.7083054,4.6591854,-3.9714463,7.990337,11.639917,-3.71296,37.65685,23.329031,22.768675,20.647757,10.8543215,8.097,9.890569,12.442653,2.9221406,3.150699,2.9599845,13.575829,10.043766,4.174373,6.132903,7.6465597,5.0777416,3.831785,4.4834814,7.3617983
Kick,-308.1038,200.66566,48.618427,29.534441,-25.18743,13.582464,-1.5002829,9.443978,20.925285,-22.14548,8.795095,-8.201463,-13.778609,-12.752063,0.20243683,0.14624023,-8.942326,-9.228809,1.1225265,-11.355877,26.31215,36.347225,33.35925,6.6000543,18.904343,8.954394,12.930556,6.6003156,16.185055,9.23419,4.153804,10.951687,10.233659,7.156061,10.537178,5.5279083,4.8140144,5.4082813,5.1761885,3.8273773
Kick,-324.2209,123.75761,-76.22065,70.41415,-25.956055,22.619812,-17.410465,13.345615,-9.984038,-2.2675889,-18.306139,-6.0684905,-6.503297,-2.582199,-7.681076,0.9695494,-8.697524,3.439904,1.1801069,-2.4293342,53.914345,20.541584,23.019058,6.7115455,8.796726,5.9373617,8.837526,8.232434,10.009044,4.566098,7.9407625,7.731663,7.2288547,5.7535186,5.076268,6.2282147,5.955737,2.904131,7.9301004,4.532345
Kick,-301.84583,131.21245,58.03502,32.087215,4.3301454,1.5199637,13.624146,0.3425992,2.605046,4.9086246,5.626109,-2.535196,-13.396817,-14.977227,1.2524179,3.474705,-5.8032794,17.506182,2.3758802,-8.355344,31.989372,33.614563,12.370046,11.867853,5.453141,7.3367867,12.250814,4.4687843,5.8473787,3.901056,3.6493921,4.4838,5.1354837,9.166238,5.2780213,4.822162,5.1509585,4.021312,5.052223,4.640032
